lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
0,451,43,228,287,21,73,10
0,922,47,210,276,5,77,10
0,838,49,204,269,30,79,10
0,437,50,221,291,9,80,10
0,126,52,201,270,10,82,10
0,547,56,201,278,13,86,10
0,349,59,200,270,20,89,10
0,484,59,195,273,22,89,10
0,228,70,226,316,21,100,10
0,464,71,199,268,20,101,10
0,6,75,175,239,23,105,10
0,538,84,166,247,1,114,10
0,976,84,198,271,20,114,10
0,967,96,197,270,30,126,10
0,647,109,197,267,10,139,10
0,161,124,192,265,10,154,10
0,868,140,198,264,20,170,10
0,374,152,200,265,10,182,10
0,65,166,200,261,10,196,10
0,610,182,206,261,10,212,10
0,886,249,250,328,24,279,10
0,698,341,179,286,8,371,10
0,258,404,149,341,6,434,10
0,626,436,170,347,15,466,10
0,467,545,172,314,9,575,10
0,347,654,216,341,19,684,10
0,458,656,235,316,2,686,10
0,173,744,180,283,23,774,10
0,641,1016,159,299,12,1046,10
0,90,1192,230,320,8,1222,10
0,509,1195,146,313,22,1225,10
0,745,1284,224,320,36,1314,10
0,911,1369,214,274,24,1399,10
0,744,1440,215,282,21,1470,10
0,368,1445,246,314,36,1475,10
0,302,1576,157,269,31,1606,10
0,246,1655,175,352,12,1685,10
