,source,target,weight
22,481,463.0,1
21,463,211.0,1
10,211,120.0,1
6,120,431.0,1
20,431,532.0,1
24,532,527.0,1
23,527,694.0,1
33,694,323.0,1
15,323,83.0,1
2,83,598.0,1
28,598,276.0,1
14,276,644.0,1
30,644,98.0,1
3,98,377.0,1
18,377,788.0,1
37,788,613.0,1
29,613,341.0,1
16,341,155.0,1
7,155,682.0,1
32,682,1.0,1
0,1,577.0,1
27,577,383.0,1
19,383,259.0,1
12,259,767.0,1
35,767,361.0,1
17,361,269.0,1
13,269,560.0,1
26,560,662.0,1
31,662,197.0,1
8,197,206.0,1
9,206,102.0,1
4,102,785.0,1
36,785,106.0,1
5,106,6.0,1
1,6,555.0,1
25,555,719.0,1
34,719,231.0,1
11,231,,1
