,source,target,weight
38,749,601.0,1
27,601,174.0,1
9,174,587.0,1
24,587,47.0,1
3,47,594.0,1
26,594,307.0,1
18,307,195.0,1
11,195,294.0,1
17,294,100.0,1
5,100,622.0,1
29,622,693.0,1
36,693,433.0,1
21,433,688.0,1
35,688,136.0,1
7,136,107.0,1
6,107,593.0,1
25,593,20.0,1
0,20,648.0,1
31,648,647.0,1
30,647,196.0,1
12,196,173.0,1
8,173,612.0,1
28,612,455.0,1
22,455,28.0,1
2,28,277.0,1
16,277,654.0,1
32,654,313.0,1
19,313,259.0,1
15,259,49.0,1
4,49,667.0,1
34,667,658.0,1
33,658,696.0,1
37,696,536.0,1
23,536,178.0,1
10,178,202.0,1
13,202,799.0,1
39,799,25.0,1
1,25,205.0,1
14,205,422.0,1
20,422,,1
