,source,target,weight
5,113,145.0,1
9,145,193.0,1
12,193,828.0,1
35,828,718.0,1
33,718,141.0,1
8,141,738.0,1
34,738,987.0,1
37,987,29.0,1
1,29,546.0,1
27,546,32.0,1
2,32,523.0,1
24,523,83.0,1
3,83,423.0,1
20,423,526.0,1
26,526,521.0,1
23,521,376.0,1
18,376,475.0,1
22,475,216.0,1
13,216,608.0,1
29,608,913.0,1
36,913,605.0,1
28,605,224.0,1
14,224,525.0,1
25,525,670.0,1
30,670,427.0,1
21,427,127.0,1
6,127,190.0,1
11,190,299.0,1
16,299,712.0,1
32,712,3.0,1
0,3,165.0,1
10,165,348.0,1
17,348,692.0,1
31,692,402.0,1
19,402,100.0,1
4,100,137.0,1
7,137,273.0,1
15,273,,1
