,source,target,weight
13,337,456.0,1
17,456,255.0,1
8,255,405.0,1
14,405,686.0,1
26,686,889.0,1
34,889,280.0,1
10,280,1000.0,1
37,1000,327.0,1
12,327,561.0,1
21,561,815.0,1
31,815,879.0,1
33,879,54.0,1
1,54,635.0,1
24,635,209.0,1
6,209,208.0,1
5,208,587.0,1
23,587,161.0,1
4,161,278.0,1
9,278,810.0,1
30,810,876.0,1
32,876,88.0,1
2,88,699.0,1
27,699,790.0,1
29,790,321.0,1
11,321,448.0,1
16,448,516.0,1
20,516,514.0,1
19,514,933.0,1
36,933,212.0,1
7,212,21.0,1
0,21,919.0,1
35,919,764.0,1
28,764,125.0,1
3,125,566.0,1
22,566,465.0,1
18,465,665.0,1
25,665,438.0,1
15,438,,1
