lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
14,456,47,148,172,25,130,10
14,364,140,150,185,22,222,10
14,393,425,166,194,7,477,10
14,36,1634,157,221,10,1771,10
14,399,1668,154,207,10,1802,10
14,103,1901,189,197,17,2010,10
14,593,2333,139,206,18,2507,10
14,469,2405,156,182,20,2503,10
14,187,2693,188,198,8,2819,10
14,45,3000,151,172,2,3115,10
14,323,3129,160,179,32,3228,10
14,379,3265,159,199,12,3406,10
14,177,3308,172,198,29,3453,10
14,25,3357,165,179,19,3413,10
14,358,3452,167,171,9,3530,10
14,426,3596,190,181,30,3759,10
14,430,3856,142,188,12,3960,10
14,138,3895,189,201,21,4034,10
14,483,4090,167,193,29,4214,10
14,1,4261,133,187,16,4400,10
