,source,target,weight
3,111,377.0,1
10,377,833.0,1
31,833,914.0,1
35,914,599.0,1
14,599,731.0,1
22,731,892.0,1
33,892,924.0,1
38,924,549.0,1
13,549,633.0,1
16,633,264.0,1
7,264,458.0,1
12,458,788.0,1
27,788,771.0,1
26,771,941.0,1
39,941,194.0,1
6,194,646.0,1
17,646,106.0,1
2,106,729.0,1
21,729,440.0,1
11,440,687.0,1
19,687,875.0,1
32,875,799.0,1
28,799,129.0,1
4,129,920.0,1
37,920,823.0,1
30,823,47.0,1
0,47,291.0,1
9,291,916.0,1
36,916,618.0,1
15,618,768.0,1
25,768,822.0,1
29,822,655.0,1
18,655,762.0,1
24,762,728.0,1
20,728,735.0,1
23,735,93.0,1
1,93,272.0,1
8,272,907.0,1
34,907,171.0,1
5,171,,1
