lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
27,351,165,102,84,3,195,10
27,458,165,102,67,20,195,10
27,435,167,99,67,10,197,10
27,159,178,95,64,20,208,10
27,187,180,85,61,20,210,10
27,409,189,95,63,10,219,10
27,243,201,93,62,20,231,10
27,438,214,93,59,20,244,10
27,487,237,82,65,30,267,10
27,571,251,85,67,10,281,10
27,225,267,91,70,20,297,10
27,38,280,94,70,30,310,10
27,634,293,96,69,10,323,10
27,680,329,75,76,23,359,10
27,68,419,73,126,38,449,10
27,65,565,66,118,27,595,10
27,564,568,88,121,15,598,10
27,623,713,86,112,17,743,10
27,783,720,92,68,19,750,10
27,726,747,76,90,2,777,10
27,699,769,59,89,24,799,10
27,405,877,70,81,9,907,10
27,143,934,98,107,17,964,10
27,176,944,97,105,33,974,10
27,782,1186,82,78,20,1216,10
27,464,1226,79,95,22,1256,10
27,468,1288,85,128,18,1318,10
27,180,1355,74,87,9,1385,10
