,source,target,weight
30,558,477.0,1
28,477,64.0,1
6,64,417.0,1
26,417,818.0,1
44,818,684.0,1
37,684,154.0,1
11,154,953.0,1
47,953,793.0,1
42,793,115.0,1
8,115,193.0,1
14,193,600.0,1
33,600,187.0,1
13,187,268.0,1
17,268,37.0,1
3,37,605.0,1
35,605,326.0,1
20,326,49.0,1
4,49,720.0,1
40,720,892.0,1
45,892,974.0,1
48,974,232.0,1
15,232,778.0,1
41,778,181.0,1
12,181,149.0,1
10,149,17.0,1
0,17,535.0,1
29,535,36.0,1
2,36,241.0,1
16,241,668.0,1
36,668,978.0,1
50,978,711.0,1
39,711,378.0,1
24,378,359.0,1
22,359,952.0,1
46,952,975.0,1
49,975,467.0,1
27,467,376.0,1
23,376,592.0,1
32,592,55.0,1
5,55,414.0,1
25,414,131.0,1
9,131,348.0,1
21,348,561.0,1
31,561,311.0,1
19,311,76.0,1
7,76,20.0,1
1,20,709.0,1
38,709,809.0,1
43,809,989.0,1
51,989,270.0,1
18,270,601.0,1
34,601,,1
