lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
19,760,136,268,95,10,296,90
19,744,319,280,121,20,479,90
19,83,419,279,111,10,579,90
19,5,511,278,109,10,671,90
19,456,607,277,103,20,767,90
19,540,706,275,95,20,866,90
19,367,798,276,93,10,958,90
19,96,801,254,106,10,961,90
19,588,896,281,86,10,1056,90
19,208,999,269,83,20,1159,90
19,194,1096,263,80,40,1256,90
19,111,1195,272,78,20,1355,90
19,394,1309,296,77,10,1469,90
19,785,1410,292,87,10,1570,90
19,709,1505,293,92,10,1665,90
19,88,1577,283,124,10,1737,90
19,234,1610,302,104,20,1770,90
19,323,1705,299,108,10,1865,90
19,402,1805,289,105,10,1965,90
19,779,1899,286,108,10,2059,90
19,264,1995,282,104,20,2155,90
19,26,2094,282,95,20,2254,90
19,324,2188,279,98,20,2348,90
19,355,2289,268,97,10,2449,90
19,219,2384,264,95,30,2544,90
19,596,2475,265,94,20,2635,90
19,356,2569,266,90,10,2729,90
19,541,2666,259,90,30,2826,90
19,754,2764,257,97,20,2924,90
19,189,2861,250,97,10,3021,90
19,231,2956,255,100,30,3116,90
19,128,3049,257,102,20,3209,90
19,724,3146,261,107,20,3306,90
19,313,3239,263,110,10,3399,90
