,source,target,weight
51,925,833.0,1
46,833,276.0,1
12,276,705.0,1
40,705,987.0,1
57,987,268.0,1
11,268,609.0,1
31,609,664.0,1
36,664,157.0,1
9,157,966.0,1
53,966,102.0,1
5,102,625.0,1
34,625,593.0,1
29,593,975.0,1
55,975,703.0,1
38,703,309.0,1
14,309,586.0,1
27,586,376.0,1
20,376,905.0,1
49,905,689.0,1
37,689,739.0,1
41,739,554.0,1
26,554,335.0,1
16,335,318.0,1
15,318,634.0,1
35,634,589.0,1
28,589,12.0,1
1,12,489.0,1
24,489,858.0,1
47,858,606.0,1
30,606,782.0,1
43,782,624.0,1
33,624,358.0,1
18,358,366.0,1
19,366,62.0,1
4,62,550.0,1
25,550,32.0,1
2,32,812.0,1
45,812,279.0,1
13,279,783.0,1
44,783,924.0,1
50,924,397.0,1
21,397,980.0,1
56,980,461.0,1
23,461,9.0,1
0,9,704.0,1
39,704,747.0,1
42,747,899.0,1
48,899,119.0,1
7,119,348.0,1
17,348,111.0,1
6,111,619.0,1
32,619,946.0,1
52,946,417.0,1
22,417,140.0,1
8,140,46.0,1
3,46,185.0,1
10,185,972.0,1
54,972,,1
