lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
7,384,383,211,62,8,473,10
7,50,393,208,47,6,553,10
7,337,439,183,44,17,551,10
7,582,507,191,49,12,655,10
7,350,548,235,31,18,702,10
7,410,601,216,40,41,736,10
7,131,603,205,44,9,640,10
7,164,732,207,20,13,871,10
7,444,796,195,9,26,897,10
7,191,946,229,40,13,1087,10
7,214,1293,194,11,14,1439,10
7,56,1474,227,5,13,1607,10
7,121,1492,236,27,21,1605,10
7,366,1568,203,36,18,1730,10
7,510,1616,189,41,12,1761,10
7,194,1746,220,43,28,1852,10
7,600,1793,199,28,12,1980,10
7,274,1799,200,26,10,1877,10
7,226,1906,224,61,22,2002,10
7,476,1961,229,25,17,2106,10
7,219,2082,217,43,5,2220,10
7,173,2273,186,26,25,2364,10
7,538,2273,183,23,26,2437,10
7,208,2416,183,43,14,2555,10
7,53,2474,220,18,38,2614,10
7,86,2520,212,45,30,2636,10
7,335,3233,232,45,15,3383,10
7,240,3234,227,62,16,3324,10
7,427,3254,228,41,16,3363,10
7,159,3440,231,28,21,3516,10
7,272,3451,214,6,35,3590,10
