,source,target,weight
45,850,581.0,1
36,581,311.0,1
20,311,370.0,1
26,370,225.0,1
15,225,354.0,1
24,354,855.0,1
47,855,974.0,1
55,974,240.0,1
17,240,741.0,1
43,741,17.0,1
3,17,932.0,1
52,932,327.0,1
22,327,107.0,1
8,107,82.0,1
6,82,679.0,1
40,679,906.0,1
51,906,436.0,1
27,436,657.0,1
39,657,10.0,1
1,10,878.0,1
50,878,549.0,1
35,549,238.0,1
16,238,362.0,1
25,362,876.0,1
49,876,487.0,1
32,487,2.0,1
0,2,710.0,1
41,710,534.0,1
34,534,281.0,1
19,281,853.0,1
46,853,448.0,1
30,448,37.0,1
4,37,440.0,1
28,440,148.0,1
10,148,330.0,1
23,330,656.0,1
38,656,617.0,1
37,617,862.0,1
48,862,475.0,1
31,475,507.0,1
33,507,217.0,1
13,217,761.0,1
44,761,324.0,1
21,324,734.0,1
42,734,442.0,1
29,442,968.0,1
54,968,154.0,1
11,154,208.0,1
12,208,106.0,1
7,106,257.0,1
18,257,218.0,1
14,218,78.0,1
5,78,13.0,1
2,13,141.0,1
9,141,957.0,1
53,957,,1
