lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
6,53,85,231,167,15,95,10
6,260,124,236,126,23,134,10
6,38,263,233,87,18,273,10
6,645,314,292,104,26,324,10
6,126,356,232,101,24,366,10
6,165,356,271,128,12,366,10
6,971,422,263,153,12,432,10
6,947,458,206,97,33,468,10
6,914,557,253,118,19,567,10
6,400,603,174,122,14,613,10
6,444,628,261,138,1,638,10
6,482,629,273,70,36,639,10
6,396,640,262,92,25,650,10
6,330,671,193,138,30,681,10
6,917,690,268,113,21,700,10
6,962,691,276,84,20,701,10
6,948,699,210,133,15,709,10
6,103,700,210,113,28,710,10
6,189,728,186,135,24,738,10
6,842,743,225,121,18,753,10
6,499,791,238,123,24,801,10
6,965,791,292,136,28,801,10
6,256,872,257,133,19,882,10
6,176,889,264,135,1,899,10
6,821,957,262,97,17,967,10
6,500,985,188,119,44,995,10
6,415,1008,195,111,15,1018,10
6,513,1090,235,108,12,1100,10
6,997,1129,215,129,17,1139,10
6,847,1136,281,96,1,1146,10
6,634,1146,223,178,20,1156,10
6,572,1175,297,131,25,1185,10
6,82,1245,245,176,20,1255,10
6,318,1273,269,112,19,1283,10
6,761,1278,242,106,28,1288,10
6,13,1292,290,145,5,1302,10
6,805,1360,253,74,20,1370,10
6,173,1411,248,176,32,1421,10
6,172,1459,267,162,6,1469,10
6,277,1513,273,149,14,1523,10
6,101,1628,267,174,34,1638,10
6,632,1704,226,175,23,1714,10
6,106,1705,241,180,13,1715,10
