lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
2,220,83,184,282,19,93,10
2,433,106,175,304,24,116,10
2,652,114,192,291,3,124,10
2,384,115,145,301,8,125,10
2,636,124,153,315,16,134,10
2,685,132,110,290,3,142,10
2,515,138,106,302,3,148,10
2,639,143,111,286,21,153,10
2,647,175,134,320,39,185,10
2,536,363,146,301,34,373,10
2,681,448,192,332,31,458,10
2,290,501,102,324,23,511,10
2,13,507,146,320,22,517,10
2,423,539,131,275,30,549,10
2,558,571,138,326,17,581,10
2,36,606,162,316,30,616,10
2,176,658,165,335,3,668,10
2,466,710,174,329,30,720,10
2,374,839,119,286,18,849,10
2,15,869,160,313,8,879,10
2,410,874,138,306,1,884,10
2,425,965,174,326,8,975,10
2,458,1422,146,324,24,1432,10
