,source,target,weight
0,0,296.0,1
14,296,183.0,1
6,183,351.0,1
16,351,187.0,1
7,187,115.0,1
4,115,204.0,1
8,204,266.0,1
12,266,725.0,1
30,725,775.0,1
33,775,602.0,1
26,602,408.0,1
19,408,439.0,1
20,439,676.0,1
29,676,559.0,1
23,559,315.0,1
15,315,61.0,1
2,61,148.0,1
5,148,217.0,1
9,217,376.0,1
18,376,737.0,1
32,737,574.0,1
24,574,279.0,1
13,279,362.0,1
17,362,483.0,1
21,483,250.0,1
11,250,586.0,1
25,586,236.0,1
10,236,94.0,1
3,94,619.0,1
27,619,33.0,1
1,33,632.0,1
28,632,728.0,1
31,728,525.0,1
22,525,,1
