lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
3,161,471,82,35,12,597,10
3,216,699,88,49,21,791,10
3,205,858,118,38,27,968,10
3,541,1182,113,4,31,1264,10
3,308,1351,107,39,9,1493,10
3,307,1460,110,31,15,1564,10
3,445,1723,72,36,7,1849,10
3,228,1885,94,12,20,2028,10
3,19,2051,80,35,31,2189,10
3,146,2193,112,43,42,2349,10
3,134,2616,116,14,20,2735,10
3,37,2711,108,3,16,2776,10
3,48,2715,72,20,32,2879,10
3,81,2735,103,8,16,2838,10
3,55,3410,111,40,22,3546,10
3,446,3966,90,44,12,4088,10
3,261,4032,107,29,20,4178,10
