lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
16,108,131,331,197,20,291,90
16,42,166,355,192,10,326,90
16,459,261,358,188,20,421,90
16,133,361,366,195,20,521,90
16,629,473,384,183,20,633,90
16,9,581,371,171,10,741,90
16,443,680,365,178,20,840,90
16,439,777,358,175,30,937,90
16,782,877,356,166,20,1037,90
16,158,973,356,172,10,1133,90
16,212,1068,356,177,20,1228,90
16,497,1165,349,179,20,1325,90
16,285,1265,339,181,20,1425,90
16,110,1361,334,177,10,1521,90
16,561,1457,330,173,20,1617,90
16,759,1559,340,166,20,1719,90
16,461,1652,342,168,20,1812,90
16,662,1744,343,169,20,1904,90
16,627,1843,348,161,30,2003,90
16,361,1937,350,157,20,2097,90
16,737,2040,362,159,30,2200,90
16,513,2133,365,158,10,2293,90
16,169,2227,361,156,40,2387,90
16,79,2446,343,161,10,2606,90
16,306,2541,338,161,20,2701,90
16,409,2645,332,148,20,2805,90
16,688,2744,329,156,20,2904,90
16,455,2836,328,158,10,2996,90
16,679,2939,317,165,20,3099,90
