,source,target,weight
12,433,963.0,1
32,963,979.0,1
33,979,155.0,1
4,155,107.0,1
1,107,595.0,1
18,595,210.0,1
7,210,120.0,1
3,120,225.0,1
8,225,111.0,1
2,111,740.0,1
26,740,71.0,1
0,71,896.0,1
31,896,813.0,1
28,813,307.0,1
10,307,491.0,1
13,491,627.0,1
21,627,246.0,1
9,246,666.0,1
24,666,556.0,1
16,556,157.0,1
5,157,179.0,1
6,179,801.0,1
27,801,715.0,1
25,715,857.0,1
30,857,393.0,1
11,393,636.0,1
22,636,591.0,1
17,591,990.0,1
34,990,529.0,1
15,529,665.0,1
23,665,855.0,1
29,855,614.0,1
20,614,603.0,1
19,603,521.0,1
14,521,,1
